TCP,status,xml_path,txt_path,extracted_chars
A08262,ok,/Users/grace/Desktop/new meta/tcp_drama/A08262.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08262.txt,85212
A07077,ok,/Users/grace/Desktop/new meta/tcp_drama/A07077.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07077.txt,127271
A07083,ok,/Users/grace/Desktop/new meta/tcp_drama/A07083.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07083.txt,72859
A15549,ok,/Users/grace/Desktop/new meta/tcp_drama/A15549.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15549.txt,103850
A19976,ok,/Users/grace/Desktop/new meta/tcp_drama/A19976.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19976.txt,112889
A69188,ok,/Users/grace/Desktop/new meta/tcp_drama/A69188.xml,/Users/grace/Desktop/new meta/<l><p>extract/A69188.txt,222703
A04654,ok,/Users/grace/Desktop/new meta/tcp_drama/A04654.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04654.txt,59017
A17871,ok,/Users/grace/Desktop/new meta/tcp_drama/A17871.xml,/Users/grace/Desktop/new meta/<l><p>extract/A17871.txt,32831
A13804,ok,/Users/grace/Desktop/new meta/tcp_drama/A13804.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13804.txt,143239
A20092,ok,/Users/grace/Desktop/new meta/tcp_drama/A20092.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20092.txt,122858
A03197,ok,/Users/grace/Desktop/new meta/tcp_drama/A03197.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03197.txt,112277
A07507,ok,/Users/grace/Desktop/new meta/tcp_drama/A07507.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07507.txt,105178
A07505,ok,/Users/grace/Desktop/new meta/tcp_drama/A07505.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07505.txt,103989
A06458,ok,/Users/grace/Desktop/new meta/tcp_drama/A06458.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06458.txt,120846
A18403,ok,/Users/grace/Desktop/new meta/tcp_drama/A18403.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18403.txt,107433
A12074,ok,/Users/grace/Desktop/new meta/tcp_drama/A12074.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12074.txt,121179
A15352,ok,/Users/grace/Desktop/new meta/tcp_drama/A15352.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15352.txt,122748
A20098,ok,/Users/grace/Desktop/new meta/tcp_drama/A20098.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20098.txt,110497
A11264,ok,/Users/grace/Desktop/new meta/tcp_drama/A11264.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11264.txt,97782
A07081,ok,/Users/grace/Desktop/new meta/tcp_drama/A07081.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07081.txt,93427
A13843,ok,/Users/grace/Desktop/new meta/tcp_drama/A13843.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13843.txt,106043
A04539,ok,/Users/grace/Desktop/new meta/tcp_drama/A04539.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04539.txt,131451
A12078,ok,/Users/grace/Desktop/new meta/tcp_drama/A12078.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12078.txt,86445
